Datetime,Symbol,Open,High,Low,Close,Volume,Market Cap
2017-12-09,BTC,15880.01000000,16269.30000000,12535.00000000,14656.07000000,13918.75868700,205372672.98786432
2017-12-10,BTC,14664.01000000,15720.12000000,12368.00000000,14899.98000000,16553.03717300,233767963.46201487
2017-12-11,BTC,14946.26000000,17470.00000000,14901.08000000,16587.97000000,11820.40176200,193045127.90360038
2017-12-12,BTC,16587.97000000,16976.45000000,15875.00000000,16349.99000000,9436.80241100,155716213.09834387
2017-12-13,BTC,16349.99000000,16546.00000000,14666.56000000,16033.29000000,12416.32880100,196769674.31153058
2017-12-14,BTC,16030.34000000,16445.00000000,15450.00000000,16334.98000000,11616.86715100,186092495.18348460
2017-12-15,BTC,16334.98000000,17991.00000000,16298.45000000,17539.83000000,9181.27394700,159809704.04408673
2017-12-16,BTC,17516.81000000,19539.00000000,17190.01000000,19102.66000000,4202.62870900,76293721.36508314
2017-12-17,BTC,19120.19000000,19798.68000000,18510.00000000,18860.02000000,9177.18343400,175867439.47045137
2017-12-18,BTC,18860.04000000,19300.00000000,17029.98000000,18856.25000000,10624.63307100,196339245.74519796
2017-12-19,BTC,18856.25000000,18950.00000000,16300.00000000,17295.20000000,13210.74822000,232790625.92336665
2017-12-20,BTC,17295.20000000,17720.35000000,14777.66000000,16488.98000000,13450.49669300,221193892.50223891
2017-12-21,BTC,16480.52000000,17309.50000000,14022.00000000,15492.64000000,20324.21730000,320176825.29037606
2017-12-22,BTC,15514.03000000,15699.34000000,10961.00000000,13326.61000000,36076.27117500,477509934.71828649
2017-12-23,BTC,13326.61000000,14950.00000000,12978.18000000,13300.00000000,13141.53887500,184759685.33206666
2017-12-24,BTC,13300.00000000,13819.99000000,11640.00000000,13500.00000000,28557.53498800,365709589.60302897
2017-12-25,BTC,13500.00000000,14300.00000000,12708.00000000,13699.34000000,15748.20760700,213139657.62891454
2017-12-26,BTC,13699.34000000,16050.00000000,13533.00000000,15689.01000000,15034.66810400,224843731.89656885
2017-12-27,BTC,15709.98000000,16498.05000000,14200.15000000,15459.99000000,14959.86472300,231229932.48204057
2017-12-28,BTC,15459.97000000,15539.99000000,13150.00000000,14182.11000000,21717.85801400,303401227.98652002
2017-12-29,BTC,14199.14000000,14981.00000000,13850.00000000,14378.90000000,18072.00811600,260911629.21807673
2017-12-30,BTC,14378.99000000,14398.85000000,11750.00000000,12440.01000000,19221.15803900,247803953.75248587
2017-12-31,BTC,12345.10000000,14050.11000000,12149.98000000,13716.36000000,11768.98971800,155283285.36704132
2018-01-01,BTC,13715.65000000,13818.55000000,12750.00000000,13380.00000000,8609.91584400,114799747.44197057
2018-01-02,BTC,13382.16000000,15473.49000000,12890.02000000,14675.11000000,20078.09211100,279717107.43371920
2018-01-03,BTC,14690.00000000,15307.56000000,14150.00000000,14919.51000000,15905.66763900,236116868.33619011
2018-01-04,BTC,14919.51000000,15280.00000000,13918.04000000,15059.54000000,21329.64957400,312781583.79830782
